# Data Version	4.3
# Objects set	4.3
# Tree version	FMA3.0
# FMA ID	is_a/part_of	model component
FMA52798	is_a	FJ3993
FMA52799	is_a	FJ3959
FMA52803	is_a	FJ3902
FMA52804	is_a	FJ3940
FMA52936	is_a	FJ4003
FMA52937	is_a	FJ3975
FMA52939	is_a	FJ3991
FMA52940	is_a	FJ3957
FMA52941	is_a	FJ3892
FMA52942	is_a	FJ3930
FMA52997	is_a	FJ3985
FMA52998	is_a	FJ3951
FMA53067	is_a	FJ3897
FMA53068	is_a	FJ3935
FMA53251	is_a	FJ3990
FMA53252	is_a	FJ3956
FMA80511	is_a	FJ3984
FMA80512	is_a	FJ3949
FMA80518	is_a	FJ3903
FMA80519	is_a	FJ3942
FMA80523	is_a	FJ3992
FMA80524	is_a	FJ3958
FMA80540	is_a	FJ3893
FMA80541	is_a	FJ3931
FMA80594	is_a	FJ3988
FMA80595	is_a	FJ3954
